country,imdb_score
Kyrgyzstan,8.7
Libya,8.4
United Arab Emirates,8.2
Egypt,8.1
Soviet Union,8.1
Iran,7.95
unknown,7.914285714285714
Sweden,7.75
Brazil,7.7
Indonesia,7.6
Argentina,7.550000000000001
Cameroon,7.5
Colombia,7.5
Israel,7.449999999999999
West Germany,7.4
Poland,7.4
Afghanistan,7.4
Kenya,7.4
New Zealand,7.3
Denmark,7.3
Panama,7.2
Finland,7.2
Czech Republic,7.1
Netherlands,7.1
UK,7.0
Spain,7.0
South Korea,7.0
Greece,7.0
Pakistan,7.0
Japan,6.95
Chile,6.9
Dominican Republic,6.9
Italy,6.9
India,6.9
China,6.9
Iceland,6.9
Norway,6.85
Mexico,6.8
Ireland,6.75
France,6.7
Hong Kong,6.7
Romania,6.5
Australia,6.5
USA,6.5
Hungary,6.449999999999999
Taiwan,6.4
Germany,6.4
Slovenia,6.4
Canada,6.3
Official site,6.3
Philippines,6.3
South Africa,6.25
Thailand,6.2
Bulgaria,6.1
Slovakia,6.0
Turkey,6.0
Switzerland,5.8
Georgia,5.6
Cambodia,5.6
Nigeria,5.6
Russia,5.6
Peru,5.4
Belgium,5.4
Aruba,4.8
Bahamas,4.4
New Line,4.4
